record_id,month,day,year,plot_id,period,diagnostic,length,diameter,recovery_method
1,7,16,1977,2,Pottery Neolithic,base,32,NA,Random survey
2,7,16,1977,3,Pottery Neolithic,base,33,NA,Random stratified survey
3,7,16,1977,2,Early Pottery Neolithic,rim,37,NA,Random survey
4,7,16,1977,7,Early Pottery Neolithic,base,36,NA,Test pit
5,7,16,1977,3,Early Pottery Neolithic,base,35,NA,Random stratified survey
6,7,16,1977,1,Hassuna,base,14,NA,Trench
7,7,16,1977,2,Late Neolithic,rim,NA,NA,Random survey
8,7,16,1977,1,Early Pottery Neolithic,base,37,NA,Trench
9,7,16,1977,1,Early Pottery Neolithic,rim,34,NA,Trench
10,7,16,1977,6,Hassuna,rim,20,NA,Stratified survey
11,7,16,1977,5,Halaf,rim,53,NA,Test pit
12,7,16,1977,7,Early Pottery Neolithic,base,38,NA,Test pit
13,7,16,1977,3,Early Pottery Neolithic,base,35,NA,Random stratified survey
14,7,16,1977,8,Early Pottery Neolithic,NA,NA,NA,Random survey
15,7,16,1977,6,Early Pottery Neolithic,rim,36,NA,Stratified survey
16,7,16,1977,4,Early Pottery Neolithic,rim,36,NA,Random survey
17,7,16,1977,3,Halaf,rim,48,NA,Random stratified survey
18,7,16,1977,2,Ubaid,base,22,NA,Random survey
19,7,16,1977,4,Hassuna,NA,NA,NA,Random survey
20,7,17,1977,11,Halaf,rim,48,NA,Random survey
21,7,17,1977,14,Early Pottery Neolithic,rim,34,NA,Random survey
22,7,17,1977,15,Pottery Neolithic,rim,31,NA,Random stratified survey
23,7,17,1977,13,Early Pottery Neolithic,base,36,NA,Stratified survey
24,7,17,1977,13,4th Millennium,base,21,NA,Stratified survey
25,7,17,1977,9,Early Pottery Neolithic,base,35,NA,Trench
26,7,17,1977,15,Early Pottery Neolithic,base,31,NA,Random stratified survey
27,7,17,1977,15,Early Pottery Neolithic,base,36,NA,Random stratified survey
28,7,17,1977,11,Early Pottery Neolithic,base,38,NA,Random survey
29,7,17,1977,11,Ubaid,base,NA,NA,Random survey
30,7,17,1977,10,Halaf,rim,52,NA,Test pit
31,7,17,1977,15,Early Pottery Neolithic,rim,37,NA,Random stratified survey
32,7,17,1977,10,Early Pottery Neolithic,rim,35,NA,Test pit
33,7,17,1977,11,Early Pottery Neolithic,rim,36,NA,Random survey
34,7,17,1977,17,Early Pottery Neolithic,NA,NA,NA,Random survey
35,7,17,1977,13,Early Pottery Neolithic,rim,38,NA,Stratified survey
36,7,17,1977,16,Early Chalcolithic,rim,22,NA,Test pit
37,7,17,1977,11,Early Pottery Neolithic,rim,35,NA,Random survey
38,7,17,1977,17,Pottery Neolithic,base,33,NA,Random survey
39,7,17,1977,11,Early Pottery Neolithic,rim,36,NA,Random survey
40,7,18,1977,20,Early Pottery Neolithic,base,36,NA,Stratified survey
41,7,18,1977,23,Early Pottery Neolithic,rim,34,NA,Test pit
42,7,18,1977,18,Halaf,rim,46,NA,Stratified survey
43,7,18,1977,21,Early Pottery Neolithic,base,36,NA,Random stratified survey
44,7,18,1977,18,Early Pottery Neolithic,rim,35,NA,Stratified survey
45,7,18,1977,22,Early Pottery Neolithic,base,36,NA,Random survey
46,7,18,1977,19,Early Pottery Neolithic,base,35,NA,Random stratified survey
47,7,18,1977,18,Early Pottery Neolithic,base,32,NA,Stratified survey
48,7,18,1977,20,Early Pottery Neolithic,rim,36,NA,Stratified survey
49,7,18,1977,12,Ubaid,rim,17,NA,Random survey
50,7,18,1977,18,Early Pottery Neolithic,rim,32,NA,Stratified survey
51,7,18,1977,21,Early Pottery Neolithic,rim,36,NA,Random stratified survey
52,7,18,1977,12,Early Pottery Neolithic,rim,26,NA,Random survey
53,7,18,1977,22,Early Pottery Neolithic,base,36,NA,Random survey
54,7,18,1977,18,Early Pottery Neolithic,base,37,NA,Stratified survey
55,7,18,1977,23,Early Pottery Neolithic,base,36,NA,Test pit
56,7,18,1977,20,Early Pottery Neolithic,base,34,NA,Stratified survey
57,7,18,1977,22,Early Pottery Neolithic,NA,NA,NA,Random survey
58,7,18,1977,12,Halaf,base,45,NA,Random survey
59,7,18,1977,19,Early Pottery Neolithic,base,33,NA,Random stratified survey
60,7,18,1977,19,Late Neolithic,base,20,NA,Random stratified survey
61,7,18,1977,23,Early Pottery Neolithic,base,35,NA,Test pit
62,7,18,1977,19,Early Pottery Neolithic,base,35,NA,Random stratified survey
63,8,19,1977,3,Early Pottery Neolithic,base,35,40,Random stratified survey
64,8,19,1977,7,Early Pottery Neolithic,base,37,48,Test pit
65,8,19,1977,4,Early Pottery Neolithic,rim,34,29,Random survey
66,8,19,1977,4,Early Pottery Neolithic,rim,35,46,Random survey
67,8,19,1977,7,Early Pottery Neolithic,base,35,36,Test pit
68,8,19,1977,8,Middle Chalcolithic,rim,32,52,Random survey
69,8,19,1977,2,Hassuna,base,15,8,Random survey
70,8,19,1977,3,Late Chalcolithic 1-2,rim,21,22,Random stratified survey
71,8,19,1977,7,Early Pottery Neolithic,rim,36,35,Test pit
72,8,19,1977,2,Pottery Neolithic,base,31,NA,Random survey
73,8,19,1977,3,Halaf,rim,44,NA,Random stratified survey
74,8,19,1977,8,Hassuna,base,12,7,Random survey
75,8,19,1977,8,Early Pottery Neolithic,rim,32,22,Random survey
76,8,19,1977,9,Halaf,rim,47,NA,Trench
77,8,19,1977,4,Late Chalcolithic 3-5,NA,NA,NA,Random survey
78,8,19,1977,1,Hassuna,base,16,9,Trench
79,8,19,1977,7,Early Pottery Neolithic,rim,34,42,Test pit
80,8,19,1977,1,Halaf,base,48,NA,Trench
81,8,19,1977,4,Hassuna,rim,14,8,Random survey
82,8,19,1977,4,Early Pottery Neolithic,rim,35,41,Random survey
83,8,20,1977,6,Early Pottery Neolithic,rim,37,37,Stratified survey
84,8,20,1977,19,Early Pottery Neolithic,rim,35,43,Random stratified survey
85,8,20,1977,23,Early Pottery Neolithic,rim,35,41,Test pit
86,8,20,1977,18,Early Pottery Neolithic,rim,33,40,Stratified survey
87,8,20,1977,5,Hassuna,rim,11,9,Test pit
88,8,20,1977,18,Early Pottery Neolithic,rim,35,45,Stratified survey
89,8,20,1977,12,Ubaid,rim,20,15,Random survey
90,8,20,1977,18,Early Pottery Neolithic,base,35,29,Stratified survey
91,8,20,1977,11,Halaf,rim,50,NA,Random survey
92,8,20,1977,6,Early Pottery Neolithic,base,35,39,Stratified survey
93,8,20,1977,18,Early Pottery Neolithic,NA,NA,42,Stratified survey
94,8,20,1977,18,Early Pottery Neolithic,rim,36,43,Stratified survey
95,8,20,1977,23,Early Pottery Neolithic,base,38,46,Test pit
96,8,20,1977,12,Early Pottery Neolithic,base,36,41,Random survey
97,8,20,1977,18,Early Pottery Neolithic,base,36,41,Stratified survey
98,8,20,1977,5,Early Pottery Neolithic,base,38,40,Test pit
99,8,20,1977,11,Early Pottery Neolithic,base,37,45,Random survey
100,8,20,1977,5,Halaf,rim,54,NA,Test pit
101,8,20,1977,5,Early Pottery Neolithic,rim,35,46,Test pit
102,8,20,1977,23,Early Pottery Neolithic,rim,35,40,Test pit
103,8,20,1977,18,Early Pottery Neolithic,rim,35,30,Stratified survey
104,8,20,1977,11,Halaf,base,43,NA,Random survey
105,8,20,1977,19,Early Pottery Neolithic,base,35,39,Random stratified survey
106,8,20,1977,12,Pottery Neolithic,NA,NA,NA,Random survey
107,8,20,1977,18,Pottery Neolithic,NA,NA,NA,Stratified survey
108,8,20,1977,11,Ubaid,base,21,NA,Random survey
109,8,20,1977,6,Early Pottery Neolithic,base,35,34,Stratified survey
110,8,20,1977,10,Halaf,NA,NA,NA,Test pit
111,8,20,1977,11,Early Pottery Neolithic,rim,37,42,Random survey
112,8,20,1977,23,Early Pottery Neolithic,base,37,42,Test pit
113,8,20,1977,5,Hassuna,rim,13,8,Test pit
114,8,21,1977,15,Early Pottery Neolithic,rim,32,NA,Random stratified survey
115,8,21,1977,21,Early Pottery Neolithic,base,34,NA,Random stratified survey
