"","record_id","month","day","year","plot_id","period","diagnostic","length","diameter","decoration_type","ceramic_type","manufacture_technique","recovery_method"
"1",1,7,16,1977,2,"Pottery Neolithic","base",32,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"2",72,8,19,1977,2,"Pottery Neolithic","base",31,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"3",224,9,13,1977,2,"Pottery Neolithic",NA,NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"4",266,10,16,1977,2,"Pottery Neolithic",NA,NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"5",349,11,12,1977,2,"Pottery Neolithic",NA,NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"6",363,11,12,1977,2,"Pottery Neolithic",NA,NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"7",435,12,10,1977,2,"Pottery Neolithic",NA,NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"8",506,1,8,1978,2,"Pottery Neolithic",NA,NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"9",588,2,18,1978,2,"Pottery Neolithic","base",NA,218,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"10",661,3,11,1978,2,"Pottery Neolithic",NA,NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"11",748,4,8,1978,2,"Pottery Neolithic",NA,NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"12",845,5,6,1978,2,"Pottery Neolithic","base",32,204,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"13",990,6,9,1978,2,"Pottery Neolithic","base",NA,200,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"14",1164,8,5,1978,2,"Pottery Neolithic","base",34,199,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"15",1261,9,4,1978,2,"Pottery Neolithic","base",32,197,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"16",1374,10,8,1978,2,"Pottery Neolithic",NA,NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"17",1453,11,5,1978,2,"Pottery Neolithic","base",NA,218,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"18",1756,4,29,1979,2,"Pottery Neolithic","base",33,166,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"19",1818,5,30,1979,2,"Pottery Neolithic","base",32,184,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"20",1882,7,4,1979,2,"Pottery Neolithic","base",32,206,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"21",2133,10,25,1979,2,"Pottery Neolithic","rim",33,274,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"22",2184,11,17,1979,2,"Pottery Neolithic","rim",30,186,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"23",2406,1,16,1980,2,"Pottery Neolithic","rim",33,184,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"24",2728,3,9,1980,2,"Pottery Neolithic","rim",NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"25",3000,5,18,1980,2,"Pottery Neolithic","rim",31,87,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"26",3002,5,18,1980,2,"Pottery Neolithic","rim",33,174,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"27",4667,7,8,1981,2,"Pottery Neolithic","rim",30,130,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"28",4859,10,1,1981,2,"Pottery Neolithic","base",34,208,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"29",5048,11,23,1981,2,"Pottery Neolithic","base",34,192,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"30",5180,1,1,1982,2,"Pottery Neolithic","base",NA,206,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"31",5299,1,25,1982,2,"Pottery Neolithic","rim",32,165,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"32",5485,2,24,1982,2,"Pottery Neolithic","base",34,202,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"33",5558,3,29,1982,2,"Pottery Neolithic","base",33,211,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"34",5583,3,29,1982,2,"Pottery Neolithic","base",31,120,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"35",5966,5,22,1982,2,"Pottery Neolithic","rim",32,40,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"36",6020,6,28,1982,2,"Pottery Neolithic","base",33,222,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"37",6023,6,28,1982,2,"Pottery Neolithic","rim",30,100,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"38",6036,6,28,1982,2,"Pottery Neolithic","rim",33,120,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"39",6167,7,25,1982,2,"Pottery Neolithic","base",NA,219,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"40",6479,8,16,1982,2,"Pottery Neolithic","rim",31,112,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"41",6500,8,16,1982,2,"Pottery Neolithic","rim",33,152,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"42",8022,6,18,1983,2,"Pottery Neolithic","rim",30,126,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"43",8263,8,16,1983,2,"Pottery Neolithic","rim",32,147,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"44",8387,9,11,1983,2,"Pottery Neolithic","rim",32,138,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"45",8394,9,11,1983,2,"Pottery Neolithic","rim",32,161,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"46",8407,9,11,1983,2,"Pottery Neolithic","base",33,148,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"47",8514,10,16,1983,2,"Pottery Neolithic","rim",32,151,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"48",8543,10,16,1983,2,"Pottery Neolithic","rim",31,175,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"49",8657,11,13,1983,2,"Pottery Neolithic","rim",32,158,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"50",8675,11,13,1983,2,"Pottery Neolithic","rim",32,164,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"51",8755,12,9,1983,2,"Pottery Neolithic","rim",32,150,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"52",9048,4,10,1984,2,"Pottery Neolithic","rim",32,157,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"53",9132,5,13,1984,2,"Pottery Neolithic","base",32,125,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"54",9270,5,28,1984,2,"Pottery Neolithic","base",33,125,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"55",9349,7,4,1984,2,"Pottery Neolithic","base",35,130,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"56",9512,8,26,1984,2,"Pottery Neolithic","rim",31,151,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"57",9605,9,30,1984,2,"Pottery Neolithic","rim",32,173,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"58",9703,10,21,1984,2,"Pottery Neolithic","base",30,126,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"59",10606,7,24,1985,2,"Pottery Neolithic","rim",30,91,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"60",10617,7,24,1985,2,"Pottery Neolithic","base",32,186,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"61",10627,7,24,1985,2,"Pottery Neolithic","rim",32,174,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"62",10720,8,20,1985,2,"Pottery Neolithic","rim",31,106,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"63",10923,10,13,1985,2,"Pottery Neolithic","rim",31,136,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"64",10949,10,13,1985,2,"Pottery Neolithic","rim",33,148,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"65",11215,12,8,1985,2,"Pottery Neolithic","rim",32,160,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"66",11329,3,9,1986,2,"Pottery Neolithic","base",34,240,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"67",11496,5,11,1986,2,"Pottery Neolithic","rim",31,163,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"68",11498,5,11,1986,2,"Pottery Neolithic","rim",31,82,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"69",11611,6,5,1986,2,"Pottery Neolithic","rim",32,110,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"70",11628,6,5,1986,2,"Pottery Neolithic","base",34,227,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"71",11709,7,4,1986,2,"Pottery Neolithic","rim",31,184,"Applique","Bevelled-Rim Bowl","coil","Random survey"
